"""Notes""","""Unaudited\nthree months\nperiod ended\n30 June\n2024""","""Unaudited\nthree months\nperiod ended\n30 June\n2023""","""Unaudited\nsix months\nperiod ended\n30 June\n2024""","""Unaudited\nsix months\nperiod ended\n30 June\n2023"""
"""Notes""","""Unaudited\nthree months\nperiod ended\n30 June\n2024""","""Unaudited\nthree months\nperiod ended\n30 June\n2023""","""Unaudited\nsix months\nperiod ended\n30 June\n2024""","""Unaudited\nsix months\nperiod ended\n30 June\n2023"""
"""Profit for the period""","""7,063""","""6,237""","""13,779""","""12,259"""
"""Other comprehensive income""","""Other comprehensive income""","""Other comprehensive income""","""Other comprehensive income""","""Other comprehensive income"""
"""Items that will not be reclassified\nsubsequently to the statement of income:""","""Items that will not be reclassified\nsubsequently to the statement of income:""","""Items that will not be reclassified\nsubsequently to the statement of income:""","""Items that will not be reclassified\nsubsequently to the statement of income:"""
"""Movement in fair value reserve\n(equity instruments):""","""Movement in fair value reserve\n(equity instruments):""","""Movement in fair value reserve\n(equity instruments):""","""Movement in fair value reserve\n(equity instruments):"""
"""- Net change in fair value""","""-""","""201""","""-""","""137"""
"""- Net amount transferred to retained earnings""","""-""","""-""","""128""","""-"""
"""Items that may be reclassified\nsubsequently to the statement of income:""","""Items that may be reclassified\nsubsequently to the statement of income:""","""Items that may be reclassified\nsubsequently to the statement of income:""","""Items that may be reclassified\nsubsequently to the statement of income:"""
"""Cost of hedging for forward element of a\nforward and currency basis spread excluded\nfrom hedge effectiveness testing:""","""Cost of hedging for forward element of a\nforward and currency basis spread excluded\nfrom hedge effectiveness testing:""","""Cost of hedging for forward element of a\nforward and currency basis spread excluded\nfrom hedge effectiveness testing:""","""Cost of hedging for forward element of a\nforward and currency basis spread excluded\nfrom hedge effectiveness testing:"""
"""Net changes in the cost of hedging""","""(74)""","""51""","""(76)""","""143"""
"""Cash flow hedges:""","""Cash flow hedges:""","""Cash flow hedges:""","""Cash flow hedges:"""
"""- Effective portion of changes in fair value""","""302""","""(166)""","""233""","""89"""
"""Fair value reserve (debt instruments):""","""Fair value reserve (debt instruments):""","""Fair value reserve (debt instruments):""","""Fair value reserve (debt instruments):"""
"""- Net change in fair value""","""(21)""","""(1,123)""","""(86)""","""(1,340)"""
"""- Net amount transferred to the statement of\nincome""","""(36)""","""8""","""(159)""","""(274)"""
"""- Related deferred tax""","""2""","""275""","""63""","""401"""
"""Currency translation reserve""","""(133)""","""(3,175)""","""(2,087)""","""(3,931)"""
"""Hedge of a net investment in foreign operations 2""","""(24)""","""5""","""(47)"""
"""Hyperinflation adjustment (note 2)""","""1,070""","""611""","""2,692""","""1,830"""
"""Other comprehensive income / (loss) for the\nperiod""","""1,112""","""(3,342)""","""713""","""(2,992)"""
"""Total comprehensive income for the\nperiod""","""8,175""","""2,895""","""14,492""","""9,267"""
"""Attributable to:""","""Attributable to:""","""Attributable to:""","""Attributable to:"""
"""Equity holders of the Group""","""8,170""","""2,884""","""14,473""","""9,246"""
"""Non-controlling interest""","""5""","""11""","""19""","""21"""
"""Total comprehensive income for the period""","""8,175""","""2,895""","""14,492""","""9,267"""
